diameter_mm,axis_x,axis_y,axis_z,x_mm,y_mm,z_mm
2.50,0.0,1.0,0.0,-93.7,-0.0,-96.0
2.50,0.0,1.0,0.0,-93.7,-0.0,-84.0
2.50,0.0,1.0,0.0,-93.7,0.0,84.0
2.50,0.0,1.0,0.0,-93.7,0.0,96.0
2.50,0.0,1.0,0.0,-82.0,-0.0,-70.0
2.50,0.0,1.0,0.0,-82.0,-0.0,-52.0
2.50,0.0,1.0,0.0,-82.0,0.0,52.0
2.50,0.0,1.0,0.0,-82.0,0.0,70.0
2.50,0.0,1.0,0.0,-73.4,-0.0,-96.0
2.50,0.0,1.0,0.0,-73.4,-0.0,-84.0
2.50,0.0,1.0,0.0,-73.4,0.0,84.0
2.50,0.0,1.0,0.0,-73.4,0.0,96.0
2.50,0.0,1.0,0.0,-61.0,0.0,0.0
2.50,0.0,1.0,0.0,-53.0,-0.0,-70.0
2.50,0.0,1.0,0.0,-53.0,-0.0,-52.0
2.50,0.0,1.0,0.0,-53.0,0.0,52.0
2.50,0.0,1.0,0.0,-53.0,0.0,70.0
2.50,0.0,1.0,0.0,-0.0,-0.0,-61.0
2.50,0.0,1.0,0.0,0.0,0.0,61.0
2.50,0.0,1.0,0.0,53.0,-0.0,-70.0
2.50,0.0,1.0,0.0,53.0,-0.0,-52.0
2.50,0.0,1.0,0.0,53.0,0.0,52.0
2.50,0.0,1.0,0.0,53.0,0.0,70.0
2.50,0.0,1.0,0.0,61.0,0.0,0.0
2.50,0.0,1.0,0.0,82.0,-0.0,-70.0
2.50,0.0,1.0,0.0,82.0,-0.0,-52.0
2.50,0.0,1.0,0.0,82.0,0.0,52.0
2.50,0.0,1.0,0.0,82.0,0.0,70.0
10.00,0.0,1.0,0.0,-61.04,-0.0,-44.348
10.00,0.0,1.0,0.0,-61.04,0.0,44.348
10.00,0.0,1.0,0.0,23.315,-0.0,-71.757
10.00,0.0,1.0,0.0,23.315,0.0,71.757
10.00,0.0,1.0,0.0,75.45,0.0,0.0
