diameter_mm,axis_x,axis_y,axis_z,x_mm,y_mm,z_mm
3.50,0.0,1.0,0.0,-105.0,-0.0,-75.0
3.50,0.0,1.0,0.0,-105.0,-0.0,-45.0
3.50,0.0,1.0,0.0,-105.0,-0.0,-15.0
3.50,0.0,1.0,0.0,-105.0,0.0,15.0
3.50,0.0,1.0,0.0,-105.0,0.0,45.0
3.50,0.0,1.0,0.0,-105.0,0.0,75.0
3.50,0.0,1.0,0.0,-90.0,-0.0,-60.0
3.50,0.0,1.0,0.0,-90.0,-0.0,-30.0
3.50,0.0,1.0,0.0,-90.0,0.0,0.0
3.50,0.0,1.0,0.0,-90.0,0.0,30.0
3.50,0.0,1.0,0.0,-90.0,0.0,60.0
3.50,0.0,1.0,0.0,-75.0,-0.0,-75.0
3.50,0.0,1.0,0.0,-75.0,-0.0,-45.0
3.50,0.0,1.0,0.0,-75.0,-0.0,-15.0
3.50,0.0,1.0,0.0,-75.0,0.0,15.0
3.50,0.0,1.0,0.0,-75.0,0.0,45.0
3.50,0.0,1.0,0.0,-75.0,0.0,75.0
3.50,0.0,1.0,0.0,-61.04,-0.0,-44.348
3.50,0.0,1.0,0.0,-61.04,0.0,44.348
3.50,0.0,1.0,0.0,-60.0,-0.0,-60.0
3.50,0.0,1.0,0.0,-60.0,-0.0,-30.0
3.50,0.0,1.0,0.0,-60.0,0.0,0.0
3.50,0.0,1.0,0.0,-60.0,0.0,30.0
3.50,0.0,1.0,0.0,-60.0,0.0,60.0
3.50,0.0,1.0,0.0,-45.0,-0.0,-75.0
3.50,0.0,1.0,0.0,-45.0,-0.0,-45.0
3.50,0.0,1.0,0.0,-45.0,-0.0,-15.0
3.50,0.0,1.0,0.0,-45.0,0.0,15.0
3.50,0.0,1.0,0.0,-45.0,0.0,45.0
3.50,0.0,1.0,0.0,-45.0,0.0,75.0
3.50,0.0,1.0,0.0,-30.0,-0.0,-60.0
3.50,0.0,1.0,0.0,-30.0,-0.0,-30.0
3.50,0.0,1.0,0.0,-30.0,0.0,0.0
3.50,0.0,1.0,0.0,-30.0,0.0,30.0
3.50,0.0,1.0,0.0,-30.0,0.0,60.0
3.50,0.0,1.0,0.0,-15.0,-0.0,-75.0
3.50,0.0,1.0,0.0,-15.0,-0.0,-45.0
3.50,0.0,1.0,0.0,-15.0,-0.0,-15.0
3.50,0.0,1.0,0.0,-15.0,0.0,15.0
3.50,0.0,1.0,0.0,-15.0,0.0,45.0
3.50,0.0,1.0,0.0,-15.0,0.0,75.0
3.50,0.0,1.0,0.0,0.0,-0.0,-60.0
3.50,0.0,1.0,0.0,0.0,-0.0,-30.0
3.50,0.0,1.0,0.0,0.0,0.0,0.0
3.50,0.0,1.0,0.0,0.0,0.0,30.0
3.50,0.0,1.0,0.0,0.0,0.0,60.0
3.50,0.0,1.0,0.0,15.0,-0.0,-75.0
3.50,0.0,1.0,0.0,15.0,-0.0,-45.0
3.50,0.0,1.0,0.0,15.0,-0.0,-15.0
3.50,0.0,1.0,0.0,15.0,0.0,15.0
3.50,0.0,1.0,0.0,15.0,0.0,45.0
3.50,0.0,1.0,0.0,15.0,0.0,75.0
3.50,0.0,1.0,0.0,23.315,-0.0,-71.757
3.50,0.0,1.0,0.0,23.315,0.0,71.757
3.50,0.0,1.0,0.0,30.0,-0.0,-60.0
3.50,0.0,1.0,0.0,30.0,-0.0,-30.0
3.50,0.0,1.0,0.0,30.0,0.0,0.0
3.50,0.0,1.0,0.0,30.0,0.0,30.0
3.50,0.0,1.0,0.0,30.0,0.0,60.0
3.50,0.0,1.0,0.0,45.0,-0.0,-75.0
3.50,0.0,1.0,0.0,45.0,-0.0,-45.0
3.50,0.0,1.0,0.0,45.0,-0.0,-15.0
3.50,0.0,1.0,0.0,45.0,0.0,15.0
3.50,0.0,1.0,0.0,45.0,0.0,45.0
3.50,0.0,1.0,0.0,45.0,0.0,75.0
3.50,0.0,1.0,0.0,60.0,-0.0,-60.0
3.50,0.0,1.0,0.0,60.0,-0.0,-30.0
3.50,0.0,1.0,0.0,60.0,0.0,0.0
3.50,0.0,1.0,0.0,60.0,0.0,30.0
3.50,0.0,1.0,0.0,60.0,0.0,60.0
3.50,0.0,1.0,0.0,75.0,-0.0,-75.0
3.50,0.0,1.0,0.0,75.0,-0.0,-45.0
3.50,0.0,1.0,0.0,75.0,-0.0,-15.0
3.50,0.0,1.0,0.0,75.0,0.0,15.0
3.50,0.0,1.0,0.0,75.0,0.0,45.0
3.50,0.0,1.0,0.0,75.0,0.0,75.0
3.50,0.0,1.0,0.0,75.45,0.0,0.0
3.50,0.0,1.0,0.0,90.0,-0.0,-60.0
3.50,0.0,1.0,0.0,90.0,-0.0,-30.0
3.50,0.0,1.0,0.0,90.0,0.0,0.0
3.50,0.0,1.0,0.0,90.0,0.0,30.0
3.50,0.0,1.0,0.0,90.0,0.0,60.0
3.50,0.0,1.0,0.0,105.0,-0.0,-75.0
3.50,0.0,1.0,0.0,105.0,-0.0,-45.0
3.50,0.0,1.0,0.0,105.0,-0.0,-15.0
3.50,0.0,1.0,0.0,105.0,0.0,15.0
3.50,0.0,1.0,0.0,105.0,0.0,45.0
3.50,0.0,1.0,0.0,105.0,0.0,75.0
