diameter_mm,axis_x,axis_y,axis_z,x_mm,y_mm,z_mm
3.20,0.0,1.0,0.0,-124.35,-0.0,-76.0
3.20,0.0,1.0,0.0,-124.35,-0.0,-59.0
3.20,0.0,1.0,0.0,-124.35,0.0,59.0
3.20,0.0,1.0,0.0,-124.35,0.0,76.0
3.20,0.0,1.0,0.0,-97.65,-0.0,-76.0
3.20,0.0,1.0,0.0,-97.65,-0.0,-59.0
3.20,0.0,1.0,0.0,-97.65,0.0,59.0
3.20,0.0,1.0,0.0,-97.65,0.0,76.0
3.20,0.0,1.0,0.0,97.65,-0.0,-76.0
3.20,0.0,1.0,0.0,97.65,-0.0,-59.0
3.20,0.0,1.0,0.0,97.65,0.0,59.0
3.20,0.0,1.0,0.0,97.65,0.0,76.0
3.20,0.0,1.0,0.0,124.35,-0.0,-76.0
3.20,0.0,1.0,0.0,124.35,-0.0,-59.0
3.20,0.0,1.0,0.0,124.35,0.0,59.0
3.20,0.0,1.0,0.0,124.35,0.0,76.0
